customer_id,recency,frequency,monetary,avg_order_value,R_score,F_score,M_score,RFM_score,RFM_composite,segment,cluster,cluster_label
CUST_00038,3,5,1297.93,259.586,4,2,2,422,2.5999999999999996,New Customers,2,Loyal High-Value
CUST_00039,412,4,1087.54,271.885,1,2,2,122,1.7,About to Sleep,1,Regular Customers
CUST_00040,37,14,4655.79,332.55642857142857,2,4,4,244,3.4,Loyal Customers,2,Loyal High-Value
CUST_00041,427,2,208.67,104.335,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00042,0,13,2375.22,182.70923076923071,5,4,3,543,3.95,Potential Loyalists,2,Loyal High-Value
CUST_00043,1,7,1504.92,214.98857142857145,5,3,2,532,3.25,Potential Loyalists,2,Loyal High-Value
CUST_00044,66,3,230.59,76.86333333333333,2,1,1,211,1.2999999999999998,Hibernating,2,Loyal High-Value
CUST_00045,413,3,383.32,127.77333333333333,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00046,3,19,11167.87,587.7826315789473,4,5,5,455,4.7,Champions,2,Loyal High-Value
CUST_00047,438,4,1053.59,263.3975,1,2,2,122,1.7,About to Sleep,1,Regular Customers
CUST_00048,407,3,1084.94,361.6466666666667,1,1,2,112,1.35,About to Sleep,1,Regular Customers
CUST_00049,39,3,2319.23,773.0766666666667,2,1,3,213,2.0,About to Sleep,2,Loyal High-Value
CUST_00050,1,25,17647.46,705.8983999999999,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00051,1,33,39433.09,1194.942121212121,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00052,15,15,5147.58,343.17199999999997,3,5,4,354,4.05,Loyal Customers,2,Loyal High-Value
CUST_00053,46,5,1667.62,333.524,2,2,3,223,2.3499999999999996,About to Sleep,2,Loyal High-Value
CUST_00054,6,9,2866.66,318.5177777777778,4,4,3,443,3.649999999999999,Potential Loyalists,2,Loyal High-Value
CUST_00055,10,9,1833.71,203.74555555555557,3,4,3,343,3.3499999999999996,Regular,2,Loyal High-Value
CUST_00056,1,5,1359.99,271.998,5,2,2,522,2.9000000000000004,New Customers,2,Loyal High-Value
CUST_00057,8,3,376.21,125.40333333333336,4,1,1,411,1.9,New Customers,2,Loyal High-Value
CUST_00058,37,8,1168.88,146.11,2,3,2,232,2.3499999999999996,Regular,2,Loyal High-Value
CUST_00059,578,2,289.12,144.56,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00060,734,1,353.02,353.02,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00061,602,3,835.5699999999999,278.5233333333333,1,1,2,112,1.35,About to Sleep,1,Regular Customers
CUST_00062,4,10,3221.14,322.114,4,4,4,444,4.0,Champions,2,Loyal High-Value
CUST_00063,12,11,4271.46,388.31454545454545,3,4,4,344,3.7,Loyal Customers,2,Loyal High-Value
CUST_00064,649,1,25.44,25.44,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00065,3,23,47416.52,2061.5878260869563,4,5,5,455,4.7,Champions,0,VIP Champions
CUST_00066,5,8,6154.97,769.37125,4,3,4,434,3.65,Potential Loyalists,2,Loyal High-Value
CUST_00067,2,11,6166.57,560.5972727272728,5,4,4,544,4.3,Champions,2,Loyal High-Value
CUST_00068,37,2,1055.28,527.64,2,1,2,212,1.65,About to Sleep,2,Loyal High-Value
CUST_00069,26,7,1421.11,203.0157142857143,2,3,2,232,2.3499999999999996,Regular,2,Loyal High-Value
CUST_00070,0,15,7405.98,493.732,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00071,67,1,80.0,80.0,2,1,1,211,1.2999999999999998,Hibernating,2,Loyal High-Value
CUST_00072,8,15,6291.12,419.408,4,5,4,454,4.35,Champions,2,Loyal High-Value
CUST_00073,6,9,7691.789999999999,854.6433333333332,4,4,5,445,4.35,Champions,2,Loyal High-Value
CUST_00074,62,2,1382.55,691.275,2,1,2,212,1.65,About to Sleep,2,Loyal High-Value
CUST_00075,3,20,12496.55,624.8275,4,5,5,455,4.7,Champions,2,Loyal High-Value
CUST_00076,20,5,2473.44,494.688,3,2,3,323,2.6499999999999995,Regular,2,Loyal High-Value
CUST_00077,4,24,8282.06,345.0858333333333,4,5,5,455,4.7,Champions,2,Loyal High-Value
CUST_00078,60,3,1498.1,499.3666666666666,2,1,2,212,1.65,About to Sleep,2,Loyal High-Value
CUST_00079,27,8,2869.73,358.71625,2,3,3,233,2.6999999999999997,At Risk,2,Loyal High-Value
CUST_00080,17,10,8603.560000000001,860.3560000000001,3,4,5,345,4.05,Loyal Customers,2,Loyal High-Value
CUST_00081,13,9,2654.43,294.93666666666667,3,4,3,343,3.3499999999999996,Regular,2,Loyal High-Value
CUST_00082,19,6,1075.3,179.21666666666667,3,3,2,332,2.6499999999999995,Needs Attention,2,Loyal High-Value
CUST_00083,4,16,11433.98,714.6237500000001,4,5,5,455,4.7,Champions,2,Loyal High-Value
CUST_00084,1,10,4633.85,463.3850000000001,5,4,4,544,4.3,Champions,2,Loyal High-Value
CUST_00085,0,26,20345.71,782.5273076923077,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00086,122,4,330.5,82.625,1,2,1,121,1.35,Hibernating,2,Loyal High-Value
CUST_00087,16,7,1595.14,227.87714285714284,3,3,3,333,2.9999999999999996,Needs Attention,2,Loyal High-Value
CUST_00088,110,2,74.34,37.17,1,1,1,111,1.0,Hibernating,2,Loyal High-Value
CUST_00089,20,6,3222.68,537.1133333333333,3,3,4,334,3.3499999999999996,Needs Attention,2,Loyal High-Value
CUST_00090,19,5,2329.3999999999996,465.87999999999994,3,2,3,323,2.6499999999999995,Regular,2,Loyal High-Value
CUST_00091,6,11,8028.43,729.8572727272727,4,4,5,445,4.35,Champions,2,Loyal High-Value
CUST_00092,20,2,2693.82,1346.91,3,1,3,313,2.3,Regular,2,Loyal High-Value
CUST_00093,4,15,2579.96,171.99733333333333,4,5,3,453,4.0,Potential Loyalists,2,Loyal High-Value
CUST_00094,418,4,1212.5,303.125,1,2,2,122,1.7,About to Sleep,1,Regular Customers
CUST_00095,12,6,1116.44,186.07333333333335,3,3,2,332,2.6499999999999995,Needs Attention,2,Loyal High-Value
CUST_00096,0,14,8933.119999999999,638.0799999999999,5,4,5,545,4.65,Champions,2,Loyal High-Value
CUST_00097,30,2,1012.76,506.38,2,1,2,212,1.65,About to Sleep,2,Loyal High-Value
CUST_00098,2,13,5062.85,389.4500000000001,5,4,4,544,4.3,Champions,2,Loyal High-Value
CUST_00099,75,2,1170.74,585.37,2,1,2,212,1.65,About to Sleep,2,Loyal High-Value
CUST_00100,447,4,726.72,181.68,1,2,2,122,1.7,About to Sleep,1,Regular Customers
CUST_00101,138,6,2316.9100000000003,386.1516666666667,1,3,3,133,2.3999999999999995,At Risk,2,Loyal High-Value
CUST_00102,2,23,13112.43,570.1056521739131,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00103,7,8,2193.16,274.145,4,3,3,433,3.3,Potential Loyalists,2,Loyal High-Value
CUST_00104,4,22,12507.36,568.5163636363636,4,5,5,455,4.7,Champions,2,Loyal High-Value
CUST_00105,5,18,30859.38,1714.41,4,5,5,455,4.7,Champions,0,VIP Champions
CUST_00106,3,8,3764.33,470.54125,4,3,4,434,3.65,Potential Loyalists,2,Loyal High-Value
CUST_00107,139,3,1331.37,443.79,1,1,2,112,1.35,About to Sleep,2,Loyal High-Value
CUST_00108,47,2,221.71,110.855,2,1,1,211,1.2999999999999998,Hibernating,2,Loyal High-Value
CUST_00109,43,12,3826.8,318.90000000000003,2,4,4,244,3.4,Loyal Customers,2,Loyal High-Value
CUST_00110,2,8,1262.07,157.75875,5,3,2,532,3.25,Potential Loyalists,2,Loyal High-Value
CUST_00111,3,8,868.21,108.52625,4,3,2,432,2.95,Potential Loyalists,2,Loyal High-Value
CUST_00112,21,12,8758.29,729.8575000000001,3,4,5,345,4.05,Loyal Customers,2,Loyal High-Value
CUST_00113,3,14,6484.43,463.17357142857145,4,4,5,445,4.35,Champions,2,Loyal High-Value
CUST_00114,54,1,268.4,268.4,2,1,1,211,1.2999999999999998,Hibernating,2,Loyal High-Value
CUST_00115,415,3,1050.58,350.1933333333333,1,1,2,112,1.35,About to Sleep,1,Regular Customers
CUST_00116,438,3,182.73,60.91,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00117,52,2,289.39,144.695,2,1,1,211,1.2999999999999998,Hibernating,2,Loyal High-Value
CUST_00118,0,22,12831.51,583.2504545454545,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00119,7,12,1731.42,144.285,4,4,3,443,3.649999999999999,Potential Loyalists,2,Loyal High-Value
CUST_00120,25,7,3581.54,511.6485714285714,2,3,4,234,3.05,At Risk,2,Loyal High-Value
CUST_00121,64,2,412.09,206.045,2,1,1,211,1.2999999999999998,Hibernating,2,Loyal High-Value
CUST_00122,2,3,3140.18,1046.7266666666667,5,1,4,514,3.25,New Customers,2,Loyal High-Value
CUST_00123,0,39,28114.72,720.8902564102565,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00124,22,5,3386.3599999999997,677.2719999999999,3,2,4,324,3.0,Regular,2,Loyal High-Value
CUST_00125,7,3,2445.1600000000003,815.0533333333334,4,1,3,413,2.5999999999999996,New Customers,2,Loyal High-Value
CUST_00126,9,6,2351.63,391.93833333333333,3,3,3,333,2.9999999999999996,Needs Attention,2,Loyal High-Value
CUST_00127,571,1,25.14,25.14,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00128,2,20,14651.63,732.5815,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00129,34,4,2177.0,544.25,2,2,3,223,2.3499999999999996,About to Sleep,2,Loyal High-Value
CUST_00130,127,3,1291.23,430.41,1,1,2,112,1.35,About to Sleep,2,Loyal High-Value
CUST_00131,12,8,1614.73,201.84125,3,3,3,333,2.9999999999999996,Needs Attention,2,Loyal High-Value
CUST_00132,4,12,7061.32,588.4433333333333,4,4,5,445,4.35,Champions,2,Loyal High-Value
CUST_00133,722,1,88.87,88.87,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00134,53,4,689.46,172.365,2,2,2,222,2.0,About to Sleep,2,Loyal High-Value
CUST_00135,8,14,3858.16,275.58285714285716,4,4,4,444,4.0,Champions,2,Loyal High-Value
CUST_00136,565,4,1026.37,256.59250000000003,1,2,2,122,1.7,About to Sleep,1,Regular Customers
CUST_00137,597,1,20.27,20.27,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00138,80,3,3790.26,1263.4199999999998,1,1,4,114,2.05,About to Sleep,2,Loyal High-Value
CUST_00139,442,4,449.89,112.4725,1,2,1,121,1.35,Hibernating,1,Regular Customers
CUST_00140,13,8,1400.91,175.11375,3,3,2,332,2.6499999999999995,Needs Attention,2,Loyal High-Value
CUST_00141,418,2,1483.71,741.855,1,1,2,112,1.35,About to Sleep,1,Regular Customers
CUST_00142,12,5,1100.0700000000002,220.01400000000004,3,2,2,322,2.3,Regular,2,Loyal High-Value
CUST_00143,41,5,2165.11,433.0220000000001,2,2,3,223,2.3499999999999996,About to Sleep,2,Loyal High-Value
CUST_00144,36,11,7216.12,656.0109090909091,2,4,5,245,3.75,Loyal Customers,2,Loyal High-Value
CUST_00145,7,8,1571.8,196.475,4,3,3,433,3.3,Potential Loyalists,2,Loyal High-Value
CUST_00146,1,24,27819.0,1159.125,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00147,598,3,2997.79,999.2633333333332,1,1,3,113,1.6999999999999995,About to Sleep,1,Regular Customers
CUST_00148,10,20,14144.51,707.2255,3,5,5,355,4.4,Loyal Customers,2,Loyal High-Value
CUST_00149,547,1,35.64,35.64,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00150,193,3,461.2000000000001,153.73333333333335,1,1,1,111,1.0,Hibernating,2,Loyal High-Value
CUST_00151,3,11,8482.01,771.0918181818182,4,4,5,445,4.35,Champions,2,Loyal High-Value
CUST_00152,112,5,812.42,162.48399999999998,1,2,2,122,1.7,About to Sleep,2,Loyal High-Value
CUST_00153,15,8,744.0,93.0,3,3,2,332,2.6499999999999995,Needs Attention,2,Loyal High-Value
CUST_00154,15,8,4011.75,501.46875,3,3,4,334,3.3499999999999996,Needs Attention,2,Loyal High-Value
CUST_00155,567,1,545.45,545.45,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00156,35,13,3264.36,251.1046153846154,2,4,4,244,3.4,Loyal Customers,2,Loyal High-Value
CUST_00157,0,29,23764.3,819.4586206896552,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00158,443,2,649.52,324.76,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00159,2,13,3409.29,262.25307692307695,5,4,4,544,4.3,Champions,2,Loyal High-Value
CUST_00160,1,12,4932.28,411.0233333333333,5,4,4,544,4.3,Champions,2,Loyal High-Value
CUST_00161,110,2,479.0,239.5,1,1,1,111,1.0,Hibernating,2,Loyal High-Value
CUST_00162,5,4,600.09,150.0225,4,2,1,421,2.25,New Customers,2,Loyal High-Value
CUST_00163,7,1,962.76,962.76,4,1,2,412,2.25,New Customers,2,Loyal High-Value
CUST_00164,3,7,1634.05,233.43571428571428,4,3,3,433,3.3,Potential Loyalists,2,Loyal High-Value
CUST_00165,89,6,2163.33,360.555,1,3,3,133,2.3999999999999995,At Risk,2,Loyal High-Value
CUST_00166,19,15,5682.73,378.84866666666665,3,5,4,354,4.05,Loyal Customers,2,Loyal High-Value
CUST_00167,1,20,17216.43,860.8215,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00168,1,33,38731.05,1173.668181818182,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00169,587,2,918.99,459.495,1,1,2,112,1.35,About to Sleep,1,Regular Customers
CUST_00170,4,13,2416.65,185.89615384615385,4,4,3,443,3.649999999999999,Potential Loyalists,2,Loyal High-Value
CUST_00171,2,15,7751.16,516.744,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00172,1,15,5665.45,377.69666666666666,5,5,4,554,4.65,Champions,2,Loyal High-Value
CUST_00173,7,5,1816.31,363.262,4,2,3,423,2.9499999999999997,New Customers,2,Loyal High-Value
CUST_00174,49,7,2553.24,364.74857142857144,2,3,3,233,2.6999999999999997,At Risk,2,Loyal High-Value
CUST_00175,15,6,3211.67,535.2783333333333,3,3,4,334,3.3499999999999996,Needs Attention,2,Loyal High-Value
CUST_00176,10,7,1977.65,282.5214285714286,3,3,3,333,2.9999999999999996,Needs Attention,2,Loyal High-Value
CUST_00177,32,8,3584.98,448.1225,2,3,4,234,3.05,At Risk,2,Loyal High-Value
CUST_00178,2,14,7540.75,538.625,5,4,5,545,4.65,Champions,2,Loyal High-Value
CUST_00179,0,33,32692.61,990.6851515151516,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00180,42,1,1237.5,1237.5,2,1,2,212,1.65,About to Sleep,2,Loyal High-Value
CUST_00181,12,8,4288.56,536.07,3,3,4,334,3.3499999999999996,Needs Attention,2,Loyal High-Value
CUST_00182,5,15,7320.39,488.026,4,5,5,455,4.7,Champions,2,Loyal High-Value
CUST_00183,51,2,244.05,122.025,2,1,1,211,1.2999999999999998,Hibernating,2,Loyal High-Value
CUST_00184,52,2,2444.6899999999996,1222.3449999999998,2,1,3,213,2.0,About to Sleep,2,Loyal High-Value
CUST_00185,3,24,13141.69,547.5704166666667,4,5,5,455,4.7,Champions,2,Loyal High-Value
CUST_00186,41,13,6639.299999999999,510.71538461538455,2,4,5,245,3.75,Loyal Customers,2,Loyal High-Value
CUST_00187,3,20,8904.54,445.227,4,5,5,455,4.7,Champions,2,Loyal High-Value
CUST_00188,1,14,6262.8,447.3428571428571,5,4,4,544,4.3,Champions,2,Loyal High-Value
CUST_00189,543,3,728.7900000000001,242.93000000000004,1,1,2,112,1.35,About to Sleep,1,Regular Customers
CUST_00190,423,3,67.22,22.406666666666663,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00191,3,18,7065.03,392.50166666666667,4,5,5,455,4.7,Champions,2,Loyal High-Value
CUST_00192,24,7,2846.69,406.67,2,3,3,233,2.6999999999999997,At Risk,2,Loyal High-Value
CUST_00193,257,2,273.56,136.78,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00194,13,11,2936.31,266.9372727272727,3,4,3,343,3.3499999999999996,Regular,2,Loyal High-Value
CUST_00195,518,3,395.78,131.92666666666665,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00196,81,1,1425.45,1425.45,1,1,2,112,1.35,About to Sleep,2,Loyal High-Value
CUST_00197,29,10,3739.58,373.958,2,4,4,244,3.4,Loyal Customers,2,Loyal High-Value
CUST_00198,25,6,1552.99,258.83166666666665,2,3,2,232,2.3499999999999996,Regular,2,Loyal High-Value
CUST_00199,446,3,1921.68,640.56,1,1,3,113,1.6999999999999995,About to Sleep,1,Regular Customers
CUST_00200,473,4,1474.51,368.6275,1,2,2,122,1.7,About to Sleep,1,Regular Customers
CUST_00201,0,11,6120.87,556.4427272727272,5,4,4,544,4.3,Champions,2,Loyal High-Value
CUST_00202,20,5,1051.14,210.228,3,2,2,322,2.3,Regular,2,Loyal High-Value
CUST_00203,26,6,2670.49,445.08166666666665,2,3,3,233,2.6999999999999997,At Risk,2,Loyal High-Value
CUST_00204,6,6,945.65,157.60833333333332,4,3,2,432,2.95,Potential Loyalists,2,Loyal High-Value
CUST_00205,89,1,127.02,127.02,1,1,1,111,1.0,Hibernating,2,Loyal High-Value
CUST_00206,12,15,6897.43,459.82866666666666,3,5,5,355,4.4,Loyal Customers,2,Loyal High-Value
CUST_00207,4,5,1902.81,380.562,4,2,3,423,2.9499999999999997,New Customers,2,Loyal High-Value
CUST_00208,8,5,3001.4,600.28,4,2,3,423,2.9499999999999997,New Customers,2,Loyal High-Value
CUST_00209,19,6,2685.9799999999996,447.6633333333333,3,3,3,333,2.9999999999999996,Needs Attention,2,Loyal High-Value
CUST_00210,2,7,2422.44,346.0628571428571,5,3,3,533,3.5999999999999996,Potential Loyalists,2,Loyal High-Value
CUST_00211,434,3,1203.48,401.16,1,1,2,112,1.35,About to Sleep,1,Regular Customers
CUST_00212,3,21,10780.69,513.3661904761905,4,5,5,455,4.7,Champions,2,Loyal High-Value
CUST_00213,3,22,8791.18,399.59909090909093,4,5,5,455,4.7,Champions,2,Loyal High-Value
CUST_00214,13,9,2598.37,288.7077777777778,3,4,3,343,3.3499999999999996,Regular,2,Loyal High-Value
CUST_00215,0,15,4815.38,321.0253333333333,5,5,4,554,4.65,Champions,2,Loyal High-Value
CUST_00216,1,25,5766.03,230.6412,5,5,4,554,4.65,Champions,2,Loyal High-Value
CUST_00217,6,4,761.02,190.255,4,2,2,422,2.5999999999999996,New Customers,2,Loyal High-Value
CUST_00218,8,18,4322.05,240.1138888888889,4,5,4,454,4.35,Champions,2,Loyal High-Value
CUST_00219,2,21,10951.61,521.5052380952382,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00220,107,2,256.29,128.145,1,1,1,111,1.0,Hibernating,2,Loyal High-Value
CUST_00221,1,25,13656.21,546.2484,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00222,25,6,1646.02,274.33666666666664,2,3,3,233,2.6999999999999997,At Risk,2,Loyal High-Value
CUST_00223,430,2,314.82000000000005,157.41000000000005,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00224,49,4,1267.5800000000002,316.89500000000004,2,2,2,222,2.0,About to Sleep,2,Loyal High-Value
CUST_00225,29,15,5782.23,385.482,2,5,4,254,3.75,Loyal Customers,2,Loyal High-Value
CUST_00226,526,2,225.37,112.685,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00227,20,9,2837.1,315.23333333333335,3,4,3,343,3.3499999999999996,Regular,2,Loyal High-Value
CUST_00228,3,12,7128.92,594.0766666666667,4,4,5,445,4.35,Champions,2,Loyal High-Value
CUST_00229,1,26,42167.43,1621.8242307692308,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00230,11,11,4760.08,432.7345454545454,3,4,4,344,3.7,Loyal Customers,2,Loyal High-Value
CUST_00231,1,24,12357.87,514.91125,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00232,56,3,1087.72,362.5733333333333,2,1,2,212,1.65,About to Sleep,2,Loyal High-Value
CUST_00233,8,4,951.42,237.855,4,2,2,422,2.5999999999999996,New Customers,2,Loyal High-Value
CUST_00234,4,7,1248.11,178.30142857142854,4,3,2,432,2.95,Potential Loyalists,2,Loyal High-Value
CUST_00235,1,12,8333.41,694.4508333333333,5,4,5,545,4.65,Champions,2,Loyal High-Value
CUST_00236,2,19,36526.45,1922.4447368421052,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00237,0,28,41263.89,1473.7103571428572,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00238,73,2,233.07,116.535,2,1,1,211,1.2999999999999998,Hibernating,2,Loyal High-Value
CUST_00239,0,24,10435.78,434.8241666666666,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00240,19,5,2035.96,407.192,3,2,3,323,2.6499999999999995,Regular,2,Loyal High-Value
CUST_00241,33,3,1412.44,470.81333333333333,2,1,2,212,1.65,About to Sleep,2,Loyal High-Value
CUST_00242,7,12,4194.43,349.53583333333336,4,4,4,444,4.0,Champions,2,Loyal High-Value
CUST_00243,0,8,737.03,92.12875,5,3,2,532,3.25,Potential Loyalists,2,Loyal High-Value
CUST_00244,0,19,19079.66,1004.1926315789474,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00245,22,1,301.44,301.44,3,1,1,311,1.6,Regular,2,Loyal High-Value
CUST_00246,1,10,2596.06,259.606,5,4,3,543,3.95,Potential Loyalists,2,Loyal High-Value
CUST_00247,3,15,6019.78,401.3186666666667,4,5,4,454,4.35,Champions,2,Loyal High-Value
CUST_00248,0,5,742.09,148.418,5,2,2,522,2.9000000000000004,New Customers,2,Loyal High-Value
CUST_00249,34,3,1977.05,659.0166666666667,2,1,3,213,2.0,About to Sleep,2,Loyal High-Value
CUST_00250,13,4,2019.13,504.7825,3,2,3,323,2.6499999999999995,Regular,2,Loyal High-Value
CUST_00251,19,5,2880.52,576.104,3,2,3,323,2.6499999999999995,Regular,2,Loyal High-Value
CUST_00252,1,13,6282.48,483.2676923076923,5,4,4,544,4.3,Champions,2,Loyal High-Value
CUST_00253,16,8,2013.86,251.7325,3,3,3,333,2.9999999999999996,Needs Attention,2,Loyal High-Value
CUST_00254,33,1,162.9,162.9,2,1,1,211,1.2999999999999998,Hibernating,2,Loyal High-Value
CUST_00255,5,4,2074.5200000000004,518.6300000000001,4,2,3,423,2.9499999999999997,New Customers,2,Loyal High-Value
CUST_00256,9,6,644.59,107.43166666666669,3,3,1,331,2.3,Needs Attention,2,Loyal High-Value
CUST_00257,5,5,448.0,89.6,4,2,1,421,2.25,New Customers,2,Loyal High-Value
CUST_00258,0,36,19730.95,548.0819444444445,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00259,4,11,2617.28,237.93454545454549,4,4,3,443,3.649999999999999,Potential Loyalists,2,Loyal High-Value
CUST_00260,3,5,2009.36,401.872,4,2,3,423,2.9499999999999997,New Customers,2,Loyal High-Value
CUST_00261,20,7,3436.92,490.98857142857145,3,3,4,334,3.3499999999999996,Needs Attention,2,Loyal High-Value
CUST_00262,21,4,4474.75,1118.6875,3,2,4,324,3.0,Regular,2,Loyal High-Value
CUST_00263,540,1,195.64,195.64,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00264,0,6,2763.3399999999997,460.5566666666666,5,3,3,533,3.5999999999999996,Potential Loyalists,2,Loyal High-Value
CUST_00265,10,19,10526.15,554.0078947368421,3,5,5,355,4.4,Loyal Customers,2,Loyal High-Value
CUST_00266,640,2,239.76,119.88,1,1,1,111,1.0,Hibernating,1,Regular Customers
