transaction_id,customer_id,transaction_date,product_category,product_name,quantity,unit_price,total_amount,payment_method,country
TXN_000078,CUST_00006,2026-02-01,Home & Garden,Home & Garden Item,3,737.64,2212.92,Credit Card,Australia
TXN_000079,CUST_00006,2025-12-11,Beauty,Beauty Item,2,127.47,254.94,PayPal,Australia
TXN_000080,CUST_00006,2025-12-16,Electronics,Electronics Item,2,897.9,1795.8,Bank Transfer,Australia
TXN_000081,CUST_00006,2026-01-17,Sports,Sports Item,4,362.61,1450.44,Debit Card,Australia
TXN_000082,CUST_00006,2025-12-27,Home & Garden,Home & Garden Item,2,592.45,1184.9,Credit Card,Australia
TXN_000083,CUST_00006,2025-10-25,Beauty,Beauty Item,3,118.65,355.95,PayPal,Australia
TXN_000084,CUST_00006,2026-02-02,Fashion,Fashion Item,3,333.66,1000.98,Credit Card,Australia
TXN_000085,CUST_00006,2025-12-21,Sports,Sports Item,1,205.19,205.19,Apple Pay,Australia
TXN_000086,CUST_00006,2025-12-16,Beauty,Beauty Item,2,38.72,77.44,PayPal,Australia
TXN_000087,CUST_00006,2026-01-14,Fashion,Fashion Item,3,277.8,833.4,Bank Transfer,Australia
TXN_000088,CUST_00007,2024-02-14,Fashion,Fashion Item,2,70.15,140.3,Debit Card,USA
TXN_000089,CUST_00008,2025-10-20,Electronics,Electronics Item,1,221.32,221.32,PayPal,USA
TXN_000090,CUST_00008,2025-05-06,Beauty,Beauty Item,1,146.49,146.49,Debit Card,USA
TXN_000091,CUST_00008,2026-01-01,Fashion,Fashion Item,2,278.52,557.04,Debit Card,USA
TXN_000092,CUST_00008,2026-01-27,Fashion,Fashion Item,1,118.97,118.97,Credit Card,USA
TXN_000093,CUST_00008,2026-02-04,Electronics,Electronics Item,1,1196.34,1196.34,Credit Card,USA
TXN_000094,CUST_00008,2026-01-14,Fashion,Fashion Item,1,124.1,124.1,Credit Card,USA
TXN_000095,CUST_00008,2026-01-26,Fashion,Fashion Item,1,193.79,193.79,PayPal,USA
TXN_000096,CUST_00008,2026-01-10,Fashion,Fashion Item,2,157.23,314.46,Debit Card,USA
TXN_000097,CUST_00008,2026-01-03,Beauty,Beauty Item,1,165.98,165.98,PayPal,USA
TXN_000098,CUST_00008,2025-12-31,Books,Books Item,1,29.99,29.99,Apple Pay,USA
TXN_000099,CUST_00008,2025-11-19,Beauty,Beauty Item,1,58.92,58.92,Bank Transfer,USA
TXN_000100,CUST_00008,2026-02-03,Sports,Sports Item,3,37.36,112.08,Debit Card,USA
TXN_000101,CUST_00008,2025-12-23,Electronics,Electronics Item,2,113.22,226.44,Bank Transfer,USA
TXN_000102,CUST_00009,2025-10-16,Electronics,Electronics Item,1,816.51,816.51,PayPal,UK
TXN_000103,CUST_00009,2025-08-03,Fashion,Fashion Item,1,38.46,38.46,Apple Pay,UK
TXN_000104,CUST_00009,2025-08-16,Beauty,Beauty Item,1,133.44,133.44,Credit Card,UK
TXN_000105,CUST_00009,2025-11-01,Fashion,Fashion Item,1,143.9,143.9,Credit Card,UK
TXN_000106,CUST_00009,2025-12-22,Home & Garden,Home & Garden Item,1,432.72,432.72,Apple Pay,UK
TXN_000107,CUST_00009,2025-11-07,Beauty,Beauty Item,1,132.3,132.3,Debit Card,UK
TXN_000108,CUST_00009,2025-06-11,Fashion,Fashion Item,2,219.94,439.88,Bank Transfer,UK
TXN_000109,CUST_00010,2025-06-21,Fashion,Fashion Item,2,104.67,209.34,Bank Transfer,USA
TXN_000110,CUST_00010,2025-12-20,Electronics,Electronics Item,1,865.85,865.85,Apple Pay,USA
TXN_000111,CUST_00010,2025-10-16,Beauty,Beauty Item,3,117.42,352.26,PayPal,USA
TXN_000112,CUST_00010,2025-09-30,Beauty,Beauty Item,1,79.24,79.24,Apple Pay,USA
TXN_000113,CUST_00010,2025-11-23,Electronics,Electronics Item,1,991.79,991.79,PayPal,USA
TXN_000114,CUST_00010,2025-09-11,Electronics,Electronics Item,1,876.48,876.48,PayPal,USA
TXN_000115,CUST_00010,2026-01-12,Books,Books Item,3,30.85,92.55,Apple Pay,USA
TXN_000116,CUST_00010,2025-06-24,Fashion,Fashion Item,1,279.99,279.99,Debit Card,USA
TXN_000117,CUST_00010,2025-12-18,Home & Garden,Home & Garden Item,1,108.12,108.12,PayPal,USA
TXN_000118,CUST_00010,2024-11-13,Books,Books Item,2,15.09,30.18,Credit Card,USA
TXN_000119,CUST_00011,2024-02-26,Home & Garden,Home & Garden Item,1,226.89,226.89,Debit Card,USA
TXN_000120,CUST_00011,2026-01-02,Fashion,Fashion Item,2,66.39,132.78,Apple Pay,USA
TXN_000121,CUST_00011,2025-07-25,Fashion,Fashion Item,2,72.9,145.8,PayPal,USA
TXN_000122,CUST_00011,2025-11-17,Electronics,Electronics Item,1,828.97,828.97,Bank Transfer,USA
TXN_000123,CUST_00011,2025-12-21,Books,Books Item,1,18.74,18.74,Debit Card,USA
TXN_000124,CUST_00012,2025-10-04,Books,Books Item,2,39.93,79.86,Bank Transfer,USA
TXN_000125,CUST_00012,2025-05-17,Fashion,Fashion Item,1,280.53,280.53,Apple Pay,USA
TXN_000126,CUST_00012,2025-11-13,Books,Books Item,1,44.97,44.97,Credit Card,USA
TXN_000127,CUST_00012,2025-11-16,Electronics,Electronics Item,1,209.19,209.19,Apple Pay,USA
TXN_000128,CUST_00012,2025-01-09,Beauty,Beauty Item,1,127.34,127.34,Apple Pay,USA
TXN_000129,CUST_00012,2025-11-09,Home & Garden,Home & Garden Item,1,375.09,375.09,Bank Transfer,USA
TXN_000130,CUST_00012,2025-09-22,Sports,Sports Item,3,285.11,855.33,Credit Card,USA
TXN_000131,CUST_00012,2025-08-17,Electronics,Electronics Item,1,658.33,658.33,Credit Card,USA
TXN_000132,CUST_00012,2025-02-23,Fashion,Fashion Item,2,40.76,81.52,PayPal,USA
TXN_000133,CUST_00012,2025-11-25,Toys,Toys Item,1,87.6,87.6,Debit Card,USA
TXN_000134,CUST_00012,2025-06-28,Home & Garden,Home & Garden Item,3,200.45,601.35,Apple Pay,USA
TXN_000135,CUST_00012,2025-11-05,Fashion,Fashion Item,2,224.58,449.16,Debit Card,USA
TXN_000136,CUST_00012,2026-02-01,Books,Books Item,1,27.78,27.78,Credit Card,USA
TXN_000137,CUST_00012,2025-10-03,Fashion,Fashion Item,1,39.53,39.53,Credit Card,USA
TXN_000138,CUST_00012,2026-01-08,Fashion,Fashion Item,1,70.82,70.82,Apple Pay,USA
TXN_000139,CUST_00013,2025-09-13,Home & Garden,Home & Garden Item,1,476.1,476.1,Credit Card,Germany
TXN_000140,CUST_00013,2025-09-06,Fashion,Fashion Item,1,224.86,224.86,Debit Card,Germany
TXN_000141,CUST_00013,2025-11-25,Electronics,Electronics Item,1,1208.1,1208.1,Apple Pay,Germany
TXN_000142,CUST_00013,2026-01-29,Toys,Toys Item,2,50.71,101.42,Bank Transfer,Germany
TXN_000143,CUST_00013,2026-01-29,Electronics,Electronics Item,1,1129.61,1129.61,Apple Pay,Germany
TXN_000144,CUST_00013,2026-01-13,Fashion,Fashion Item,3,66.41,199.23,Bank Transfer,Germany
TXN_000145,CUST_00013,2025-09-06,Fashion,Fashion Item,1,223.79,223.79,Debit Card,Germany
TXN_000146,CUST_00014,2026-01-15,Beauty,Beauty Item,2,37.8,75.6,Credit Card,UK
TXN_000147,CUST_00014,2026-01-24,Electronics,Electronics Item,1,521.78,521.78,Credit Card,UK
TXN_000148,CUST_00014,2026-02-01,Toys,Toys Item,2,83.92,167.84,Bank Transfer,UK
TXN_000149,CUST_00014,2026-01-10,Home & Garden,Home & Garden Item,1,131.12,131.12,Credit Card,UK
TXN_000150,CUST_00014,2026-02-05,Beauty,Beauty Item,2,39.45,78.9,Credit Card,UK
TXN_000151,CUST_00014,2026-01-23,Sports,Sports Item,1,269.62,269.62,Bank Transfer,UK
TXN_000152,CUST_00014,2026-01-07,Beauty,Beauty Item,2,21.09,42.18,Bank Transfer,UK
TXN_000153,CUST_00014,2025-12-04,Electronics,Electronics Item,1,1633.11,1633.11,Bank Transfer,UK
TXN_000154,CUST_00014,2026-02-06,Fashion,Fashion Item,1,246.65,246.65,Bank Transfer,UK
TXN_000155,CUST_00014,2026-01-17,Sports,Sports Item,1,47.42,47.42,PayPal,UK
TXN_000156,CUST_00014,2026-01-13,Beauty,Beauty Item,1,21.71,21.71,Bank Transfer,UK
TXN_000157,CUST_00014,2026-01-20,Fashion,Fashion Item,1,261.07,261.07,Debit Card,UK
TXN_000158,CUST_00014,2026-01-22,Toys,Toys Item,2,138.72,277.44,Apple Pay,UK
TXN_000159,CUST_00014,2025-09-28,Fashion,Fashion Item,2,269.13,538.26,Apple Pay,UK
TXN_000160,CUST_00014,2025-11-04,Fashion,Fashion Item,1,375.09,375.09,PayPal,UK
TXN_000161,CUST_00014,2026-01-15,Fashion,Fashion Item,1,269.64,269.64,Credit Card,UK
TXN_000162,CUST_00014,2026-02-06,Beauty,Beauty Item,2,75.69,151.38,Bank Transfer,UK
TXN_000163,CUST_00014,2026-01-09,Beauty,Beauty Item,1,135.24,135.24,Debit Card,UK
TXN_000164,CUST_00014,2026-01-06,Fashion,Fashion Item,1,303.97,303.97,Debit Card,UK
TXN_000165,CUST_00014,2026-01-06,Home & Garden,Home & Garden Item,1,616.69,616.69,Debit Card,UK
TXN_000166,CUST_00014,2026-02-03,Electronics,Electronics Item,1,632.3,632.3,Apple Pay,UK
TXN_000167,CUST_00014,2025-12-06,Sports,Sports Item,2,90.01,180.02,PayPal,UK
TXN_000168,CUST_00014,2025-12-08,Electronics,Electronics Item,2,1426.44,2852.88,Debit Card,UK
TXN_000169,CUST_00014,2025-12-28,Electronics,Electronics Item,1,1864.49,1864.49,Debit Card,UK
TXN_000170,CUST_00015,2025-09-18,Fashion,Fashion Item,1,57.27,57.27,PayPal,USA
TXN_000171,CUST_00015,2025-12-17,Electronics,Electronics Item,1,461.54,461.54,Credit Card,USA
TXN_000172,CUST_00015,2025-08-19,Books,Books Item,1,28.83,28.83,Debit Card,USA
TXN_000173,CUST_00015,2025-10-27,Sports,Sports Item,1,176.81,176.81,Apple Pay,USA
TXN_000174,CUST_00015,2026-01-09,Beauty,Beauty Item,3,83.61,250.83,Debit Card,USA
TXN_000175,CUST_00015,2025-09-24,Books,Books Item,1,11.34,11.34,Bank Transfer,USA
TXN_000176,CUST_00015,2025-08-28,Beauty,Beauty Item,2,23.06,46.12,Debit Card,USA
TXN_000177,CUST_00016,2026-01-13,Beauty,Beauty Item,2,56.43,112.86,Debit Card,USA
TXN_000178,CUST_00016,2026-01-30,Sports,Sports Item,1,177.53,177.53,Debit Card,USA
TXN_000179,CUST_00017,2025-12-10,Home & Garden,Home & Garden Item,3,196.6,589.8,Bank Transfer,Australia
TXN_000180,CUST_00017,2026-01-20,Sports,Sports Item,3,229.99,689.97,Bank Transfer,Australia
TXN_000181,CUST_00017,2026-01-09,Electronics,Electronics Item,1,795.04,795.04,PayPal,Australia
TXN_000182,CUST_00017,2025-11-27,Electronics,Electronics Item,2,601.36,1202.72,Debit Card,Australia
TXN_000183,CUST_00017,2025-10-13,Electronics,Electronics Item,1,1637.95,1637.95,Apple Pay,Australia
TXN_000184,CUST_00017,2026-01-28,Electronics,Electronics Item,1,472.04,472.04,Credit Card,Australia
TXN_000185,CUST_00017,2025-11-02,Beauty,Beauty Item,2,110.95,221.9,Apple Pay,Australia
TXN_000186,CUST_00017,2025-12-12,Fashion,Fashion Item,1,198.47,198.47,Bank Transfer,Australia
TXN_000187,CUST_00017,2026-01-27,Electronics,Electronics Item,2,882.35,1764.7,Credit Card,Australia
TXN_000188,CUST_00017,2025-09-27,Books,Books Item,1,16.99,16.99,Apple Pay,Australia
TXN_000189,CUST_00017,2025-12-12,Fashion,Fashion Item,1,286.91,286.91,Debit Card,Australia
TXN_000190,CUST_00018,2025-12-02,Home & Garden,Home & Garden Item,1,216.01,216.01,Debit Card,France
TXN_000191,CUST_00018,2025-12-20,Sports,Sports Item,1,111.28,111.28,Apple Pay,France
TXN_000192,CUST_00018,2025-11-13,Fashion,Fashion Item,2,78.49,156.98,Bank Transfer,France
TXN_000193,CUST_00018,2025-12-28,Electronics,Electronics Item,1,1361.42,1361.42,Debit Card,France
TXN_000194,CUST_00019,2026-02-04,Beauty,Beauty Item,1,102.63,102.63,Debit Card,USA
TXN_000195,CUST_00019,2025-04-21,Books,Books Item,1,43.03,43.03,Debit Card,USA
TXN_000196,CUST_00019,2026-01-07,Toys,Toys Item,2,46.73,93.46,Credit Card,USA
TXN_000197,CUST_00019,2026-01-13,Electronics,Electronics Item,3,1421.46,4264.38,Bank Transfer,USA
TXN_000198,CUST_00019,2025-09-14,Home & Garden,Home & Garden Item,1,428.68,428.68,PayPal,USA
TXN_000199,CUST_00019,2025-08-27,Books,Books Item,1,47.05,47.05,Debit Card,USA
TXN_000200,CUST_00019,2025-04-20,Electronics,Electronics Item,1,1096.45,1096.45,Credit Card,USA
TXN_000201,CUST_00019,2025-02-20,Fashion,Fashion Item,2,207.14,414.28,Debit Card,USA
TXN_000202,CUST_00020,2024-12-03,Fashion,Fashion Item,1,173.76,173.76,Credit Card,UK
TXN_000203,CUST_00020,2025-08-26,Fashion,Fashion Item,1,105.65,105.65,Apple Pay,UK
TXN_000204,CUST_00020,2026-01-09,Home & Garden,Home & Garden Item,2,110.45,220.9,PayPal,UK
TXN_000205,CUST_00020,2025-07-31,Sports,Sports Item,2,164.08,328.16,PayPal,UK
TXN_000206,CUST_00020,2025-06-12,Fashion,Fashion Item,1,142.36,142.36,Apple Pay,UK
TXN_000207,CUST_00020,2025-09-01,Home & Garden,Home & Garden Item,1,98.27,98.27,Debit Card,UK
TXN_000208,CUST_00020,2025-07-16,Books,Books Item,1,29.63,29.63,Apple Pay,UK
TXN_000209,CUST_00021,2025-12-01,Toys,Toys Item,2,80.51,161.02,Apple Pay,UK
TXN_000210,CUST_00021,2026-01-25,Books,Books Item,2,14.62,29.24,Apple Pay,UK
TXN_000211,CUST_00021,2025-09-17,Home & Garden,Home & Garden Item,1,309.74,309.74,Credit Card,UK
TXN_000212,CUST_00021,2025-12-31,Electronics,Electronics Item,1,1397.35,1397.35,Credit Card,UK
TXN_000213,CUST_00021,2026-02-06,Fashion,Fashion Item,2,291.11,582.22,Apple Pay,UK
TXN_000214,CUST_00021,2026-01-19,Beauty,Beauty Item,1,109.44,109.44,PayPal,UK
TXN_000215,CUST_00021,2025-09-29,Fashion,Fashion Item,3,70.53,211.59,Credit Card,UK
TXN_000216,CUST_00021,2026-01-15,Home & Garden,Home & Garden Item,1,506.72,506.72,Credit Card,UK
TXN_000217,CUST_00021,2026-02-05,Electronics,Electronics Item,2,1298.96,2597.92,Debit Card,UK
TXN_000218,CUST_00021,2026-01-12,Home & Garden,Home & Garden Item,1,610.37,610.37,Credit Card,UK
TXN_000219,CUST_00021,2025-11-14,Electronics,Electronics Item,2,1688.46,3376.92,Bank Transfer,UK
TXN_000220,CUST_00021,2025-12-05,Fashion,Fashion Item,1,55.8,55.8,Debit Card,UK
TXN_000221,CUST_00021,2025-12-23,Fashion,Fashion Item,1,357.82,357.82,Debit Card,UK
TXN_000222,CUST_00021,2026-01-02,Sports,Sports Item,1,38.97,38.97,Bank Transfer,UK
TXN_000223,CUST_00021,2025-10-27,Toys,Toys Item,1,98.75,98.75,Credit Card,UK
TXN_000224,CUST_00021,2026-01-09,Fashion,Fashion Item,2,197.17,394.34,PayPal,UK
TXN_000225,CUST_00021,2026-01-02,Beauty,Beauty Item,2,186.41,372.82,Bank Transfer,UK
TXN_000226,CUST_00021,2025-12-30,Fashion,Fashion Item,3,221.33,663.99,Bank Transfer,UK
TXN_000227,CUST_00021,2025-11-20,Toys,Toys Item,2,85.05,170.1,Credit Card,UK
TXN_000228,CUST_00022,2026-01-26,Fashion,Fashion Item,1,355.57,355.57,Debit Card,Australia
TXN_000229,CUST_00022,2026-01-06,Beauty,Beauty Item,1,70.79,70.79,Bank Transfer,Australia
TXN_000230,CUST_00022,2026-01-21,Electronics,Electronics Item,2,2219.0,4438.0,Bank Transfer,Australia
TXN_000231,CUST_00022,2026-01-20,Beauty,Beauty Item,2,69.61,139.22,Apple Pay,Australia
TXN_000232,CUST_00022,2026-02-05,Books,Books Item,3,64.2,192.6,Apple Pay,Australia
TXN_000233,CUST_00022,2026-01-20,Books,Books Item,1,73.85,73.85,PayPal,Australia
TXN_000234,CUST_00022,2025-11-09,Books,Books Item,2,45.53,91.06,Debit Card,Australia
TXN_000235,CUST_00022,2025-11-29,Beauty,Beauty Item,3,266.47,799.41,Apple Pay,Australia
TXN_000236,CUST_00022,2026-01-30,Sports,Sports Item,3,58.65,175.95,Debit Card,Australia
TXN_000237,CUST_00022,2026-02-01,Electronics,Electronics Item,4,2131.25,8525.0,Apple Pay,Australia
TXN_000238,CUST_00022,2025-12-28,Fashion,Fashion Item,3,156.76,470.28,Bank Transfer,Australia
TXN_000239,CUST_00022,2025-11-13,Electronics,Electronics Item,3,1819.71,5459.13,Apple Pay,Australia
TXN_000240,CUST_00022,2026-02-06,Home & Garden,Home & Garden Item,2,332.56,665.12,Credit Card,Australia
TXN_000241,CUST_00022,2026-01-30,Home & Garden,Home & Garden Item,4,102.06,408.24,Apple Pay,Australia
TXN_000242,CUST_00022,2026-01-02,Books,Books Item,3,57.92,173.76,Bank Transfer,Australia
TXN_000243,CUST_00022,2026-02-01,Fashion,Fashion Item,3,136.52,409.56,Debit Card,Australia
TXN_000244,CUST_00022,2026-01-04,Toys,Toys Item,3,57.19,171.57,Credit Card,Australia
TXN_000245,CUST_00022,2025-12-28,Sports,Sports Item,1,282.35,282.35,Credit Card,Australia
TXN_000246,CUST_00022,2026-01-31,Home & Garden,Home & Garden Item,3,672.59,2017.77,Debit Card,Australia
TXN_000247,CUST_00022,2026-01-30,Fashion,Fashion Item,3,341.65,1024.95,Bank Transfer,Australia
TXN_000248,CUST_00023,2025-08-11,Fashion,Fashion Item,1,26.95,26.95,Bank Transfer,Canada
TXN_000249,CUST_00023,2026-01-14,Electronics,Electronics Item,2,448.83,897.66,Bank Transfer,Canada
TXN_000250,CUST_00023,2026-01-03,Fashion,Fashion Item,1,207.02,207.02,PayPal,Canada
TXN_000251,CUST_00023,2026-01-29,Fashion,Fashion Item,3,234.16,702.48,Debit Card,Canada
TXN_000252,CUST_00023,2025-09-14,Books,Books Item,1,20.68,20.68,Debit Card,Canada
TXN_000253,CUST_00023,2025-12-26,Beauty,Beauty Item,1,126.85,126.85,PayPal,Canada
TXN_000254,CUST_00023,2025-11-13,Home & Garden,Home & Garden Item,1,439.96,439.96,PayPal,Canada
TXN_000255,CUST_00023,2026-02-04,Home & Garden,Home & Garden Item,1,300.33,300.33,Apple Pay,Canada
TXN_000256,CUST_00023,2026-01-13,Sports,Sports Item,1,202.89,202.89,Credit Card,Canada
TXN_000257,CUST_00023,2024-12-09,Toys,Toys Item,1,122.24,122.24,Bank Transfer,Canada
TXN_000258,CUST_00024,2025-12-14,Sports,Sports Item,1,174.94,174.94,Credit Card,UK
TXN_000259,CUST_00024,2025-11-04,Fashion,Fashion Item,1,90.25,90.25,Apple Pay,UK
TXN_000260,CUST_00024,2025-09-25,Fashion,Fashion Item,1,281.15,281.15,Bank Transfer,UK
TXN_000261,CUST_00024,2026-01-26,Home & Garden,Home & Garden Item,1,70.17,70.17,Bank Transfer,UK
TXN_000262,CUST_00024,2025-11-30,Electronics,Electronics Item,2,404.69,809.38,Debit Card,UK
TXN_000263,CUST_00025,2026-01-06,Beauty,Beauty Item,1,107.97,107.97,Debit Card,USA
